RegionID,RegionName,City,State,Metro,CountyName,No of bedrooms,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
275237,Roosevelt,Fresno,CA,Fresno,Fresno,1,56500,57400,58000,58000,57900,57800,57800,57800,57600,57000,56400,55700,55300,55700,56500,57800,59100,60200,60700,61200,62400,64000,65200,65100,64500,63700,63000,62800,63500,64300,66800,69900,71400,72300,74700,77200,78400
273088,Bullard,Fresno,CA,Fresno,Fresno,1,86500,86100,86100,86400,86700,87600,88400,88300,87400,87000,86900,86900,87100,87900,89000,89800,90400,91100,91700,92200,92700,92800,92200,91300,90800,91200,92600,92600,92600,94400,97900,99800,102600,106500,110100,110900,110400
276652,West San Jose,San Jose,CA,San Jose,Santa Clara,1,434000,442500,451800,461900,468400,471700,477300,486200,495600,501700,504400,506400,512300,523000,531700,536600,538000,537200,535300,536200,538300,542200,552000,569500,591100,606700,611300,611800,611500,607800,607000,610000,611700,621700,641000,654400,659400
273480,Downtown,San Jose,CA,San Jose,Santa Clara,1,474900,477900,481800,486700,494100,505000,513300,518600,522600,524600,524200,523900,526400,533900,544300,553900,560400,563400,566300,571700,578500,584100,588300,593500,600600,606900,611600,617300,622600,628100,632800,638000,647800,663000,679400,693500,701700
274756,North Valley,San Jose,CA,San Jose,Santa Clara,1,355000,357800,359300,362600,369500,381000,394400,406100,411900,418300,425000,427300,425300,427000,429400,434100,441800,447200,446500,449900,459500,468700,472300,473500,477200,479000,473100,463600,455800,449800,449500,454400,461000,470200,483200,498500,509600
115003,Evergreen,San Jose,CA,San Jose,Santa Clara,1,320200,327500,338900,348300,356300,363400,365700,365600,368800,374900,376300,374700,375600,379700,382200,385000,388600,391500,393000,396800,401600,408000,418100,434500,452800,467800,476600,477200,472100,470000,472200,472700,472100,475900,483600,492500,500200
118987,Willow Glen,San Jose,CA,San Jose,Santa Clara,1,420300,423400,427600,435500,444600,451900,457000,465300,476800,485600,489700,492200,497700,509100,521900,529500,531800,530700,526900,522700,519900,517400,510200,507500,517200,534500,551500,567900,577800,582200,588500,598900,610800,625800,645800,667200,680600
276215,Blossom Valley,San Jose,CA,San Jose,Santa Clara,1,370000,370000,373300,378200,381000,382400,384300,385600,386500,388000,389800,390100,391800,396800,402900,406100,407000,410700,416700,420200,421400,423500,426100,430400,438400,448600,459200,469200,475100,479400,486700,494900,500800,509300,522300,535100,543900
114074,Cambrian Park,San Jose,CA,San Jose,Santa Clara,1,377900,380900,381300,380900,385300,391600,396300,402000,406000,402400,396700,392100,389800,388100,394600,413100,430800,433600,429900,429500,430600,432800,436800,441200,446100,448800,449700,449300,449000,450800,457600,465800,473600,485800,504300,522600,532700
274552,Mission,San Francisco,CA,San Francisco,San Francisco,1,764700,769700,779700,794000,807000,820200,831500,833900,831900,833200,837600,844800,851900,856600,855300,847300,838000,828800,817800,810800,810400,814200,821200,827800,829700,833200,840600,847100,850800,852400,855900,859900,864700,871000,882300,883500,876700
273794,Fresno High Roeding,Fresno,CA,Fresno,Fresno,1,81400,83400,85500,86400,86800,86600,86400,87100,87000,85800,85800,87200,89100,91500,94100,95400,96500,97500,98500,99300,100600,101600,100800,98900,97800,98100,98700,100300,103800,107600,110400,112700,114100,115300,116400,117900,119400
275306,Santa Teresa,San Jose,CA,San Jose,Santa Clara,1,327000,327300,327100,327700,329100,331000,333300,336000,340500,346000,350600,355000,361200,366500,368900,369700,368600,366600,365700,366200,369900,375700,381300,387500,394000,397500,400000,403300,405900,409700,415600,421800,431100,444700,457000,469700,480700
272756,Almaden Valley,San Jose,CA,San Jose,Santa Clara,1,340500,341200,342200,346100,350000,352500,355600,357800,358300,359300,362400,366600,368900,370900,374400,378100,380100,380600,380800,383700,388200,393000,396900,403300,412500,420700,427800,436000,441200,442500,449100,460500,470700,479200,490300,502200,510000
113736,Berryessa,San Jose,CA,San Jose,Santa Clara,1,301300,307700,312100,314200,315700,317700,320100,324400,326600,324800,324800,327000,328800,332200,339700,346900,350300,349900,349600,350300,352800,358300,365000,370900,377800,385600,393300,401600,405300,405700,405800,409400,417900,429600,440900,453300,463400
272760,Alum Rock-East Foothills,San Jose,CA,San Jose,Santa Clara,1,248500,251300,257000,262800,266000,267000,268200,273800,281800,286200,287300,288900,292500,298800,307800,310800,304000,296700,294300,294000,295000,297200,299000,302100,307500,312800,317300,322900,325700,327700,334300,342400,348200,355700,365400,374900,381900
