RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
275237,Roosevelt,Fresno,CA,Fresno,Fresno,30,992,1006,1021,1035,1046,1054,1057,1056,1051,1049,1045,1047,1054,1067,1083,1093,1095,1090,1087,1086,1087,1087,1087,1086,1085,1089,1094,1101,1106,1113,1125,1137,1149,1160,1171,1180,1183
273565,East San Jose,San Jose,CA,San Jose,Santa Clara,37,2616,2648,2679,2711,2740,2760,2783,2811,2842,2873,2899,2923,2945,2973,2998,3018,3039,3064,3083,3093,3096,3097,3090,3082,3081,3100,3121,3142,3154,3161,3167,3179,3192,3203,3211,3220,3232
273088,Bullard,Fresno,CA,Fresno,Fresno,47,1333,1339,1346,1349,1352,1357,1362,1367,1368,1368,1367,1369,1373,1378,1382,1385,1384,1386,1388,1389,1389,1388,1388,1390,1393,1396,1402,1408,1418,1427,1437,1440,1442,1443,1443,1445,1447
276652,West San Jose,San Jose,CA,San Jose,Santa Clara,55,3468,3506,3540,3575,3605,3627,3641,3644,3644,3647,3664,3677,3684,3681,3682,3692,3711,3727,3729,3724,3713,3702,3687,3665,3639,3624,3621,3628,3646,3663,3680,3695,3701,3705,3709,3716,3727
273480,Downtown,San Jose,CA,San Jose,Santa Clara,71,2776,2821,2857,2885,2908,2937,2975,3005,3023,3029,3035,3046,3068,3101,3133,3161,3185,3198,3195,3179,3161,3145,3131,3112,3093,3089,3097,3114,3135,3153,3173,3191,3207,3219,3228,3235,3244
274756,North Valley,San Jose,CA,San Jose,Santa Clara,75,2758,2803,2847,2886,2920,2954,2991,3024,3047,3062,3075,3083,3097,3116,3144,3166,3182,3189,3189,3183,3177,3174,3168,3157,3146,3150,3159,3172,3187,3199,3210,3222,3239,3256,3268,3271,3275
115003,Evergreen,San Jose,CA,San Jose,Santa Clara,76,3177,3202,3213,3224,3243,3275,3310,3339,3352,3369,3390,3413,3432,3458,3476,3495,3509,3527,3539,3547,3535,3518,3500,3489,3476,3475,3470,3475,3486,3496,3505,3510,3508,3510,3517,3527,3535
118987,Willow Glen,San Jose,CA,San Jose,Santa Clara,80,3220,3246,3279,3319,3368,3406,3427,3429,3424,3431,3454,3480,3505,3524,3539,3549,3558,3566,3569,3566,3557,3546,3537,3521,3509,3508,3513,3520,3526,3534,3538,3542,3541,3540,3536,3529,3525
276215,Blossom Valley,San Jose,CA,San Jose,Santa Clara,94,2795,2845,2890,2932,2964,3003,3043,3083,3112,3139,3162,3184,3201,3226,3246,3266,3288,3310,3321,3321,3308,3288,3265,3244,3227,3236,3252,3272,3289,3296,3304,3311,3327,3347,3367,3383,3398
114074,Cambrian Park,San Jose,CA,San Jose,Santa Clara,104,3183,3205,3236,3275,3329,3374,3409,3417,3416,3424,3449,3476,3500,3526,3543,3562,3574,3581,3576,3569,3562,3554,3548,3535,3526,3532,3537,3542,3539,3537,3532,3528,3521,3516,3514,3511,3514
276151,Woodward Park,Fresno,CA,Fresno,Fresno,127,1583,1577,1579,1586,1605,1616,1621,1619,1619,1616,1607,1604,1606,1609,1617,1622,1623,1619,1612,1608,1611,1613,1610,1610,1613,1621,1637,1654,1665,1675,1683,1691,1700,1711,1714,1710,1704
274552,Mission,San Francisco,CA,San Francisco,San Francisco,130,4379,4466,4558,4656,4757,4831,4892,4917,4954,4975,5004,5008,5010,5011,4994,4976,4964,4959,4950,4923,4884,4836,4810,4777,4732,4691,4641,4615,4605,4610,4634,4680,4736,4784,4819,4830,4833
274056,Hoover,Fresno,CA,Fresno,Fresno,142,1176,1179,1180,1183,1186,1191,1193,1194,1191,1189,1189,1192,1196,1201,1204,1208,1213,1218,1218,1217,1219,1221,1227,1231,1236,1242,1245,1246,1245,1246,1248,1252,1258,1267,1276,1285,1291
273794,Fresno High Roeding,Fresno,CA,Fresno,Fresno,144,975,982,989,993,994,999,1003,1009,1007,1003,1001,1008,1021,1033,1042,1047,1052,1051,1050,1045,1044,1043,1043,1043,1042,1045,1051,1057,1061,1067,1078,1094,1114,1131,1141,1144,1145
276446,Mclane,Fresno,CA,Fresno,Fresno,164,1048,1058,1067,1077,1086,1093,1096,1096,1094,1090,1085,1085,1088,1095,1104,1111,1113,1111,1107,1103,1106,1113,1120,1126,1131,1138,1144,1148,1149,1152,1159,1172,1186,1199,1210,1221,1229
273674,Fairgrounds,San Jose,CA,San Jose,Santa Clara,172,2581,2613,2640,2668,2698,2726,2758,2789,2820,2842,2861,2874,2893,2927,2960,2981,2996,3007,3016,3016,3011,3007,3002,2997,2996,3008,3016,3027,3047,3069,3094,3112,3122,3126,3135,3149,3169
275306,Santa Teresa,San Jose,CA,San Jose,Santa Clara,176,2849,2896,2937,2976,3013,3055,3099,3138,3170,3193,3209,3220,3232,3255,3273,3296,3324,3352,3365,3364,3348,3326,3307,3294,3284,3295,3305,3320,3332,3336,3343,3349,3361,3378,3400,3417,3432
117224,Parkway,Sacramento,CA,Sacramento,Sacramento,194,1220,1232,1240,1244,1246,1244,1245,1246,1247,1247,1248,1255,1267,1279,1292,1303,1313,1321,1326,1329,1331,1332,1332,1337,1343,1351,1360,1371,1384,1401,1417,1436,1456,1474,1486,1494,1498
46736,Newbury Park,Thousand Oaks,CA,Ventura,Ventura,201,2833,2866,2900,2925,2944,2953,2951,2940,2929,2923,2931,2944,2961,2972,2991,3002,3021,3038,3054,3055,3043,3033,3027,3023,3018,3011,3006,3008,3015,3040,3073,3110,3158,3192,3210,3198,3180
272756,Almaden Valley,San Jose,CA,San Jose,Santa Clara,206,3780,3837,3845,3864,3882,3900,3900,3900,3914,3949,4009,4067,4113,4127,4117,4084,4060,4041,4040,4050,4046,4036,4027,4017,4003,4005,3996,3985,3969,3962,3968,3988,4006,4024,4047,4060,4066
46793,North Highlands,Sacramento,CA,Sacramento,Sacramento,216,1217,1224,1232,1239,1247,1254,1260,1265,1268,1270,1274,1278,1284,1287,1293,1293,1297,1302,1313,1319,1323,1327,1333,1339,1345,1351,1360,1374,1387,1402,1416,1436,1457,1474,1485,1490,1491
275845,Valley High-North Laguna,Sacramento,CA,Sacramento,Sacramento,244,1331,1338,1343,1345,1345,1344,1343,1345,1344,1345,1346,1351,1362,1375,1395,1414,1429,1439,1442,1443,1442,1442,1444,1449,1454,1458,1464,1472,1482,1497,1517,1544,1572,1595,1604,1605,1601
273594,Edenvale - Seven Trees,San Jose,CA,San Jose,Santa Clara,247,2657,2697,2732,2769,2804,2826,2846,2865,2888,2910,2927,2945,2967,2996,3026,3043,3057,3069,3087,3105,3123,3137,3143,3137,3129,3135,3149,3163,3172,3180,3192,3205,3212,3214,3214,3220,3227
113736,Berryessa,San Jose,CA,San Jose,Santa Clara,268,2878,2915,2951,2986,3023,3058,3099,3131,3163,3193,3226,3247,3263,3282,3303,3323,3342,3354,3359,3358,3347,3329,3311,3287,3270,3274,3279,3292,3311,3331,3346,3351,3355,3367,3387,3408,3424
276646,West,Fresno,CA,Fresno,Fresno,300,1174,1180,1187,1192,1196,1200,1204,1210,1212,1209,1203,1199,1197,1199,1204,1211,1219,1224,1226,1226,1227,1230,1234,1238,1242,1246,1249,1250,1249,1250,1255,1263,1274,1281,1286,1289,1293
