RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
275237,Roosevelt,Fresno,CA,Fresno,Fresno,22,137600,138200,139000,140000,140500,141500,142500,143100,143500,144200,145300,146100,146500,147300,148400,149200,150000,150900,151500,151800,152800,154300,155500,155800,155900,157600,160800,164300,167400,169500,170900,172100,172800,173200,173900,175500,177400
273565,East San Jose,San Jose,CA,San Jose,Santa Clara,28,527800,532300,538800,546700,553000,558700,563800,568000,570900,572200,571900,571600,573600,579500,587100,592500,594500,595000,595000,596600,600200,604700,608500,614800,624700,635100,644600,655900,665900,673800,681600,690000,699000,710300,723900,740500,754500
273088,Bullard,Fresno,CA,Fresno,Fresno,35,229900,229800,229400,229200,229200,230000,231800,233500,234300,234700,235600,236700,238000,238900,239700,241000,242400,243400,244500,245700,247200,248800,250500,251700,253000,255500,258700,261400,264000,266500,268300,269800,271600,273100,274100,276000,278600
276652,West San Jose,San Jose,CA,San Jose,Santa Clara,42,1038300,1057900,1076800,1092700,1107900,1125000,1143600,1162400,1175900,1182200,1186500,1189200,1194900,1209300,1228400,1243200,1248100,1242300,1233400,1228700,1228000,1229000,1231700,1237400,1249000,1262400,1277500,1297000,1313600,1328000,1345400,1369200,1402300,1443100,1483900,1523800,1551500
273480,Downtown,San Jose,CA,San Jose,Santa Clara,52,588200,594200,600600,608500,617100,625600,633300,639300,644400,650000,653600,655000,658400,666400,674100,679700,683500,685600,686100,688500,691800,692900,692700,695400,704300,715400,726900,740100,749200,752900,759100,769500,781500,798400,822300,850100,870300
274756,North Valley,San Jose,CA,San Jose,Santa Clara,56,634000,639900,647300,656100,666200,679100,692000,702500,709800,715800,720100,721500,721700,727900,738100,745700,747300,746900,747000,750900,756300,760000,762100,768300,779400,790900,802700,817900,829400,836500,845500,856600,871000,892100,915100,936600,952500
115003,Evergreen,San Jose,CA,San Jose,Santa Clara,57,800700,806400,814400,826400,841000,853100,858800,860200,860300,858800,856800,855700,858700,867200,876200,880300,878900,874700,870000,869400,872000,875900,881100,891000,904400,916600,926800,937800,945700,950700,959700,973000,987900,1008400,1034900,1060000,1075200
118987,Willow Glen,San Jose,CA,San Jose,Santa Clara,61,897200,907700,922300,939000,953400,963300,969300,974500,980600,986400,991800,996500,1002700,1015300,1031900,1042800,1044000,1040900,1038700,1040300,1044500,1049500,1054000,1059200,1067500,1076400,1083400,1094400,1108100,1123400,1142000,1162000,1181600,1209200,1247200,1288100,1314800
276215,Blossom Valley,San Jose,CA,San Jose,Santa Clara,71,689000,698800,708400,718100,727100,734500,740900,746200,748800,748700,747400,748300,753700,762600,772300,779400,782100,780300,775800,773200,775200,779200,783000,789500,799300,808500,816500,827900,838600,847700,856600,867500,881400,902100,926500,950900,966300
114074,Cambrian Park,San Jose,CA,San Jose,Santa Clara,80,849400,858000,869100,883300,898800,912600,925100,937800,947900,952500,955800,958100,962200,972100,985600,996400,999500,996800,993700,993600,995600,1000000,1005900,1015000,1028700,1042800,1056000,1069500,1079700,1087000,1095700,1108600,1129600,1162900,1203700,1240500,1260500
276151,Woodward Park,Fresno,CA,Fresno,Fresno,96,288300,289000,289800,291000,291800,292500,293900,295100,295400,296100,297400,298500,299900,301200,301800,303100,305100,306800,307900,308900,310200,311500,312800,313900,315200,317800,321000,323200,324900,327500,330200,332400,334200,335800,337000,339400,342400
274552,Mission,San Francisco,CA,San Francisco,San Francisco,98,1136200,1154100,1178100,1199000,1215200,1226000,1230400,1223200,1212600,1206300,1205900,1210700,1221600,1231200,1233800,1230100,1227300,1223700,1220800,1223000,1228700,1236900,1254300,1272700,1279800,1284000,1295100,1305000,1307100,1310000,1326000,1344400,1353100,1366200,1394800,1413400,1413200
274056,Hoover,Fresno,CA,Fresno,Fresno,107,172300,173000,173300,174000,175100,176300,177900,179300,180000,180500,181500,182000,182100,182600,183400,184400,185500,186100,186800,188200,190000,192000,193500,194400,195500,197600,200200,202400,204500,207100,209300,210800,212500,213900,214100,215300,217400
273794,Fresno High Roeding,Fresno,CA,Fresno,Fresno,109,134200,134700,135200,136000,136800,137600,138300,138900,139100,139500,140000,140600,141900,143600,144700,145200,145700,146400,147000,147300,147900,148800,149900,151300,153100,155200,157400,159600,161600,163500,165300,166700,167600,168700,170000,172300,175100
276446,Mclane,Fresno,CA,Fresno,Fresno,125,149400,149900,150500,151300,152200,152800,153200,153400,153400,153600,154200,154400,154600,155500,156500,157500,158600,159300,159300,159500,160700,162500,164200,165400,166400,167800,169800,171500,172800,174000,175600,177000,178200,178700,178500,179800,182300
273674,Fairgrounds,San Jose,CA,San Jose,Santa Clara,132,523000,527600,534100,541100,547100,552000,557100,562700,568000,570900,572000,573000,576300,582900,590100,595800,597900,598200,598600,601300,605100,609800,614100,620000,628200,636800,644700,653900,663300,671500,679200,686800,695400,708700,725600,744100,757700
275306,Santa Teresa,San Jose,CA,San Jose,Santa Clara,135,694400,702700,712100,720700,726700,731900,737700,742900,745000,744900,744800,746500,752200,762000,773400,783300,787200,785600,781600,779800,782300,787300,790700,796000,805400,815000,823700,837100,850600,861100,870200,880700,893300,912100,935900,960200,976100
117224,Parkway,Sacramento,CA,Sacramento,Sacramento,149,165100,166500,169100,170900,172700,175300,177500,179300,182100,185800,189500,193200,197200,200600,203500,206200,208800,210900,212600,213800,215200,216600,218200,219300,220000,221200,224100,227100,230200,233800,236800,238300,239600,241600,243200,244100,245300
46736,Newbury Park,Thousand Oaks,CA,Ventura,Ventura,154,611100,615300,614800,613600,616500,622000,626900,632400,637800,642300,645900,649400,651700,653900,657100,659500,660000,658500,657900,660000,663700,664800,664300,664500,666600,671000,676700,680600,681400,681600,682900,683900,682900,684700,689200,691900,693400
272756,Almaden Valley,San Jose,CA,San Jose,Santa Clara,158,1184400,1198400,1215400,1234400,1249700,1260600,1268000,1272100,1273200,1273700,1274200,1274000,1278600,1290200,1301700,1304600,1298100,1286600,1275200,1273400,1280700,1289100,1292600,1300000,1314300,1329300,1344000,1363100,1377100,1384300,1396000,1416100,1440000,1468400,1500900,1533600,1556700
